service_no,party_size,queue_start,queue_end,table_no,meal_start,meal_end,guest_type,date,queue_start_dt,queue_end_dt,meal_start_dt,meal_end_dt,wait_min,meal_min,had_queue,had_meal,is_walkaway,day_name,is_weekend,price
1,1.0,,,6,06:42:00,07:00:00,In-House,2026-03-13,,,2026-03-13 06:42:00,2026-03-13 07:00:00,,18.0,False,True,False,Friday,False,159
2,2.0,,,2,06:44:00,07:10:00,Walk-In,2026-03-13,,,2026-03-13 06:44:00,2026-03-13 07:10:00,,26.0,False,True,False,Friday,False,159
3,2.0,,,7A,07:05:00,08:08:00,Walk-In,2026-03-13,,,2026-03-13 07:05:00,2026-03-13 08:08:00,,63.0,False,True,False,Friday,False,159
4,1.0,,,8A,07:20:00,08:18:00,In-House,2026-03-13,,,2026-03-13 07:20:00,2026-03-13 08:18:00,,58.0,False,True,False,Friday,False,159
5,1.0,,,10A,07:25:00,07:45:00,In-House,2026-03-13,,,2026-03-13 07:25:00,2026-03-13 07:45:00,,20.0,False,True,False,Friday,False,159
6,1.0,,,8B,07:28:00,08:20:00,In-House,2026-03-13,,,2026-03-13 07:28:00,2026-03-13 08:20:00,,52.0,False,True,False,Friday,False,159
7,1.0,,,9,07:33:00,08:05:00,In-House,2026-03-13,,,2026-03-13 07:33:00,2026-03-13 08:05:00,,32.0,False,True,False,Friday,False,159
8,5.0,,,4,07:42:00,08:40:00,Walk-In,2026-03-13,,,2026-03-13 07:42:00,2026-03-13 08:40:00,,58.0,False,True,False,Friday,False,159
9,4.0,,,11,07:48:00,08:21:00,In-House,2026-03-13,,,2026-03-13 07:48:00,2026-03-13 08:21:00,,33.0,False,True,False,Friday,False,159
10,2.0,,,16,07:48:00,08:35:00,In-House,2026-03-13,,,2026-03-13 07:48:00,2026-03-13 08:35:00,,47.0,False,True,False,Friday,False,159
11,2.0,,,6,07:50:00,08:48:00,Walk-In,2026-03-13,,,2026-03-13 07:50:00,2026-03-13 08:48:00,,58.0,False,True,False,Friday,False,159
12,1.0,,,7B,07:56:00,08:15:00,In-House,2026-03-13,,,2026-03-13 07:56:00,2026-03-13 08:15:00,,19.0,False,True,False,Friday,False,159
13,1.0,,,10A,07:59:00,08:35:00,In-House,2026-03-13,,,2026-03-13 07:59:00,2026-03-13 08:35:00,,36.0,False,True,False,Friday,False,159
14,1.0,,,1,08:00:00,09:19:00,Walk-In,2026-03-13,,,2026-03-13 08:00:00,2026-03-13 09:19:00,,79.0,False,True,False,Friday,False,159
15,1.0,,,8C,08:03:00,08:27:00,Walk-In,2026-03-13,,,2026-03-13 08:03:00,2026-03-13 08:27:00,,24.0,False,True,False,Friday,False,159
16,2.0,,,12,08:05:00,08:25:00,In-House,2026-03-13,,,2026-03-13 08:05:00,2026-03-13 08:25:00,,20.0,False,True,False,Friday,False,159
17,1.0,,,14,08:14:00,09:03:00,In-House,2026-03-13,,,2026-03-13 08:14:00,2026-03-13 09:03:00,,49.0,False,True,False,Friday,False,159
18,2.0,,,7A,08:15:00,09:30:00,Walk-In,2026-03-13,,,2026-03-13 08:15:00,2026-03-13 09:30:00,,75.0,False,True,False,Friday,False,159
19,1.0,,,15A,08:16:00,09:05:00,In-House,2026-03-13,,,2026-03-13 08:16:00,2026-03-13 09:05:00,,49.0,False,True,False,Friday,False,159
20,1.0,,,10B,08:19:00,08:35:00,In-House,2026-03-13,,,2026-03-13 08:19:00,2026-03-13 08:35:00,,16.0,False,True,False,Friday,False,159
21,4.0,,,3,08:24:00,10:46:00,Walk-In,2026-03-13,,,2026-03-13 08:24:00,2026-03-13 10:46:00,,142.0,False,True,False,Friday,False,159
22,2.0,,,5,08:25:00,09:22:00,In-House,2026-03-13,,,2026-03-13 08:25:00,2026-03-13 09:22:00,,57.0,False,True,False,Friday,False,159
23,2.0,,,2,08:25:00,10:12:00,Walk-In,2026-03-13,,,2026-03-13 08:25:00,2026-03-13 10:12:00,,107.0,False,True,False,Friday,False,159
24,1.0,,,8A,08:33:00,09:30:00,Walk-In,2026-03-13,,,2026-03-13 08:33:00,2026-03-13 09:30:00,,57.0,False,True,False,Friday,False,159
25,1.0,,,11A,08:41:00,09:25:00,Walk-In,2026-03-13,,,2026-03-13 08:41:00,2026-03-13 09:25:00,,44.0,False,True,False,Friday,False,159
26,1.0,,,16,08:43:00,09:35:00,Walk-In,2026-03-13,,,2026-03-13 08:43:00,2026-03-13 09:35:00,,52.0,False,True,False,Friday,False,159
27,1.0,,,12,08:47:00,09:18:00,In-House,2026-03-13,,,2026-03-13 08:47:00,2026-03-13 09:18:00,,31.0,False,True,False,Friday,False,159
28,2.0,,,10A,08:53:00,09:28:00,In-House,2026-03-13,,,2026-03-13 08:53:00,2026-03-13 09:28:00,,35.0,False,True,False,Friday,False,159
29,1.0,,,7B,08:53:00,09:13:00,In-House,2026-03-13,,,2026-03-13 08:53:00,2026-03-13 09:13:00,,20.0,False,True,False,Friday,False,159
30,3.0,,,6,09:00:00,09:33:00,In-House,2026-03-13,,,2026-03-13 09:00:00,2026-03-13 09:33:00,,33.0,False,True,False,Friday,False,159
31,2.0,,,4,09:05:00,10:00:00,Walk-In,2026-03-13,,,2026-03-13 09:05:00,2026-03-13 10:00:00,,55.0,False,True,False,Friday,False,159
32,2.0,,,8B,09:05:00,09:39:00,In-House,2026-03-13,,,2026-03-13 09:05:00,2026-03-13 09:39:00,,34.0,False,True,False,Friday,False,159
33,2.0,,,15A,09:07:00,10:07:00,Walk-In,2026-03-13,,,2026-03-13 09:07:00,2026-03-13 10:07:00,,60.0,False,True,False,Friday,False,159
34,2.0,,,8A,09:08:00,10:09:00,In-House,2026-03-13,,,2026-03-13 09:08:00,2026-03-13 10:09:00,,61.0,False,True,False,Friday,False,159
35,2.0,,,8,09:16:00,10:06:00,Walk-In,2026-03-13,,,2026-03-13 09:16:00,2026-03-13 10:06:00,,50.0,False,True,False,Friday,False,159
